Epoch 0 Train results for TCGA-BRCA: accuracy: 35.455197704081634 recall: 35.455197704081634  precision: 27.439767146013576 fmeasure: 0.26868756212775885 mcc: -0.023192361965416568 loss: tensor(1.0973, grad_fn=<DivBackward0>)
Epoch 1 Train results for TCGA-LUSC: accuracy: 67.5675051713948 recall: 67.5675051713948  precision: 72.11484050079562 fmeasure: 0.6413251018737783 mcc: 0.5587933142560444 loss: tensor(0.8755, grad_fn=<DivBackward0>)
Epoch 1 Train results for TCGA-PRAD: accuracy: 70.62604361963909 recall: 70.62604361963909  precision: 75.7350007062219 fmeasure: 0.6904086323468737 mcc: 0.5574416945158869 loss: tensor(0.8421, grad_fn=<DivBackward0>)
Epoch 1 Train results for TCGA-THCA: accuracy: 72.73984312148029 recall: 72.73984312148029  precision: 77.621843476373 fmeasure: 0.7035682239828841 mcc: 0.5180759972000836 loss: tensor(0.8243, grad_fn=<DivBackward0>)
Epoch 1 Train results for TCGA-UCEC: accuracy: 44.26649305555556 recall: 44.26649305555556  precision: 37.61059993611971 fmeasure: 0.34395152078806673 mcc: 0.08595479511290455 loss: tensor(1.0684, grad_fn=<DivBackward0>)
Epoch 2 Train results for TCGA-BRCA: accuracy: 67.67378826530611 recall: 67.67378826530611  precision: 78.04503707943013 fmeasure: 0.6437374595043919 mcc: 0.5411737499130704 loss: tensor(0.8757, grad_fn=<DivBackward0>)
Epoch 2 Train results for TCGA-KIRC: accuracy: 80.70685834617926 recall: 80.70685834617926  precision: 83.68812634114775 fmeasure: 0.7985108924974679 mcc: 0.7270482781544053 loss: tensor(0.7481, grad_fn=<DivBackward0>)
Epoch 2 Train results for TCGA-KIRP: accuracy: 79.5390625 recall: 79.5390625  precision: 80.46240243221192 fmeasure: 0.7939798102034537 mcc: 0.683274737961896 loss: tensor(0.7529, grad_fn=<DivBackward0>)
Epoch 2 Train results for TCGA-LIHC: accuracy: 59.41815043604651 recall: 59.41815043604651  precision: 52.22534702549665 fmeasure: 0.5238128357724007 mcc: 0.2592950812804352 loss: tensor(0.9495, grad_fn=<DivBackward0>)
Epoch 2 Train results for TCGA-LUAD: accuracy: 77.87911184210526 recall: 77.87911184210526  precision: 80.5025572915745 fmeasure: 0.771682678855047 mcc: 0.664587785610644 loss: tensor(0.7675, grad_fn=<DivBackward0>)
Epoch 2 Train results for TCGA-LUSC: accuracy: 78.22288711583924 recall: 78.22288711583924  precision: 78.76811215016724 fmeasure: 0.7679962678300868 mcc: 0.6765380038674 loss: tensor(0.7647, grad_fn=<DivBackward0>)
Epoch 2 Train results for TCGA-PRAD: accuracy: 72.84153825872978 recall: 72.84153825872978  precision: 76.78962836998818 fmeasure: 0.7126271266504363 mcc: 0.5745306450686929 loss: tensor(0.8182, grad_fn=<DivBackward0>)
Epoch 2 Train results for TCGA-THCA: accuracy: 74.77373290426387 recall: 74.77373290426387  precision: 79.97641184245148 fmeasure: 0.7232002955745395 mcc: 0.5230497408651593 loss: tensor(0.8038, grad_fn=<DivBackward0>)
Epoch 2 Train results for TCGA-UCEC: accuracy: 53.90769675925926 recall: 53.90769675925926  precision: 47.28109137978205 fmeasure: 0.45834363258172217 mcc: 0.2712234905140366 loss: tensor(1.0029, grad_fn=<DivBackward0>)
Epoch 3 Train results for TCGA-BRCA: accuracy: 81.40678146258503 recall: 81.40678146258503  precision: 83.7948490771419 fmeasure: 0.8093660855907785 mcc: 0.7307927898797268 loss: tensor(0.7338, grad_fn=<DivBackward0>)
Epoch 3 Train results for TCGA-KIRC: accuracy: 77.61557889231446 recall: 77.61557889231446  precision: 80.55813318035125 fmeasure: 0.7719571821610445 mcc: 0.6761604805217026 loss: tensor(0.7721, grad_fn=<DivBackward0>)
Epoch 3 Train results for TCGA-KIRP: accuracy: 66.765625 recall: 66.765625  precision: 71.86137276394643 fmeasure: 0.6183747957445274 mcc: 0.4994179279275651 loss: tensor(0.8814, grad_fn=<DivBackward0>)
Epoch 3 Train results for TCGA-LIHC: accuracy: 64.48435228924419 recall: 64.48435228924419  precision: 60.35436551673157 fmeasure: 0.6000919574643696 mcc: 0.3591412588366164 loss: tensor(0.9013, grad_fn=<DivBackward0>)
Epoch 3 Train results for TCGA-LUAD: accuracy: 80.21929824561404 recall: 80.21929824561404  precision: 83.4398719392661 fmeasure: 0.795915985523839 mcc: 0.7097130591713686 loss: tensor(0.7475, grad_fn=<DivBackward0>)
Epoch 3 Train results for TCGA-LUSC: accuracy: 82.40894651300238 recall: 82.40894651300238  precision: 83.63170968536026 fmeasure: 0.8211798785111463 mcc: 0.7377069673531489 loss: tensor(0.7253, grad_fn=<DivBackward0>)
Epoch 3 Train results for TCGA-PRAD: accuracy: 75.18391507499415 recall: 75.18391507499415  precision: 78.37192433740604 fmeasure: 0.7436479000790928 mcc: 0.6153523284090283 loss: tensor(0.7946, grad_fn=<DivBackward0>)
Epoch 3 Train results for TCGA-THCA: accuracy: 81.20348954143202 recall: 81.20348954143202  precision: 82.09233041158696 fmeasure: 0.8059319117504008 mcc: 0.6414034155384334 loss: tensor(0.7363, grad_fn=<DivBackward0>)
Epoch 3 Train results for TCGA-UCEC: accuracy: 59.61950231481482 recall: 59.61950231481482  precision: 63.18883736574844 fmeasure: 0.5774676927819371 mcc: 0.36912367102038185 loss: tensor(0.9587, grad_fn=<DivBackward0>)
Epoch 4 Train results for TCGA-BRCA: accuracy: 78.58870110544217 recall: 78.58870110544217  precision: 81.25340911611683 fmeasure: 0.7830568912585649 mcc: 0.691211332839978 loss: tensor(0.7614, grad_fn=<DivBackward0>)
Epoch 4 Train results for TCGA-KIRC: accuracy: 80.73481543162299 recall: 80.73481543162299  precision: 83.19101975656382 fmeasure: 0.8041218345878858 mcc: 0.722422421129814 loss: tensor(0.7420, grad_fn=<DivBackward0>)
Epoch 4 Train results for TCGA-KIRP: accuracy: 69.48046875 recall: 69.48046875  precision: 73.50773802498908 fmeasure: 0.6730404866504188 mcc: 0.5282170851368119 loss: tensor(0.8548, grad_fn=<DivBackward0>)
Epoch 4 Train results for TCGA-LIHC: accuracy: 69.78844930959302 recall: 69.78844930959302  precision: 70.97297087959922 fmeasure: 0.679512981983547 mcc: 0.47036602164336 loss: tensor(0.8542, grad_fn=<DivBackward0>)
Epoch 4 Train results for TCGA-LUAD: accuracy: 81.94024122807018 recall: 81.94024122807018  precision: 83.48181495129732 fmeasure: 0.8174808332406235 mcc: 0.7245650063367249 loss: tensor(0.7274, grad_fn=<DivBackward0>)
Epoch 4 Train results for TCGA-LUSC: accuracy: 80.08320404846336 recall: 80.08320404846336  precision: 81.2623571969578 fmeasure: 0.7955893155159984 mcc: 0.703489214322516 loss: tensor(0.7483, grad_fn=<DivBackward0>)
Epoch 4 Train results for TCGA-PRAD: accuracy: 71.50424039137567 recall: 71.50424039137567  precision: 75.31874435909742 fmeasure: 0.7052494670594487 mcc: 0.5624522443468853 loss: tensor(0.8312, grad_fn=<DivBackward0>)
Epoch 4 Train results for TCGA-THCA: accuracy: 77.64072556315365 recall: 77.64072556315365  precision: 81.25884087422097 fmeasure: 0.7551373355754553 mcc: 0.5685102784201898 loss: tensor(0.7718, grad_fn=<DivBackward0>)
Epoch 4 Train results for TCGA-UCEC: accuracy: 62.10069444444444 recall: 62.10069444444444  precision: 64.59764566483157 fmeasure: 0.6026600789676806 mcc: 0.413618550012925 loss: tensor(0.9293, grad_fn=<DivBackward0>)
Epoch 5 Train results for TCGA-BRCA: accuracy: 77.0766900510204 recall: 77.0766900510204  precision: 81.57083702186188 fmeasure: 0.7688510800762828 mcc: 0.6687284161141726 loss: tensor(0.7773, grad_fn=<DivBackward0>)
Epoch 5 Train results for TCGA-KIRC: accuracy: 83.74230965095794 recall: 83.74230965095794  precision: 84.4215040604379 fmeasure: 0.8354483472254063 mcc: 0.7583443877297759 loss: tensor(0.7116, grad_fn=<DivBackward0>)
Epoch 5 Train results for TCGA-KIRP: accuracy: 77.3125 recall: 77.3125  precision: 79.10805399076749 fmeasure: 0.7691406262812659 mcc: 0.6491572526341448 loss: tensor(0.7750, grad_fn=<DivBackward0>)
Epoch 5 Train results for TCGA-LIHC: accuracy: 73.52266533430233 recall: 73.52266533430233  precision: 74.23476663127661 fmeasure: 0.727100739880809 mcc: 0.5376952380458122 loss: tensor(0.8225, grad_fn=<DivBackward0>)
Epoch 5 Train results for TCGA-LUAD: accuracy: 82.25219298245615 recall: 82.25219298245615  precision: 83.21116697716536 fmeasure: 0.8192478806915455 mcc: 0.725895628019327 loss: tensor(0.7242, grad_fn=<DivBackward0>)
Epoch 5 Train results for TCGA-LUSC: accuracy: 80.64328457446808 recall: 80.64328457446808  precision: 81.99708883986875 fmeasure: 0.7980268442747136 mcc: 0.7150402786322946 loss: tensor(0.7426, grad_fn=<DivBackward0>)
Epoch 5 Train results for TCGA-PRAD: accuracy: 75.31995181040544 recall: 75.31995181040544  precision: 78.742318687256 fmeasure: 0.7439490005061979 mcc: 0.6109837140435498 loss: tensor(0.7947, grad_fn=<DivBackward0>)
Epoch 5 Train results for TCGA-THCA: accuracy: 75.4223652453741 recall: 75.4223652453741  precision: 79.21277516237696 fmeasure: 0.7431766070408277 mcc: 0.5483147767492823 loss: tensor(0.7946, grad_fn=<DivBackward0>)
Epoch 5 Train results for TCGA-UCEC: accuracy: 64.44589120370371 recall: 64.44589120370371  precision: 67.15998488857703 fmeasure: 0.6184636520812379 mcc: 0.4502521413025557 loss: tensor(0.9090, grad_fn=<DivBackward0>)
Epoch 6 Train results for TCGA-BRCA: accuracy: 83.30941751700679 recall: 83.30941751700679  precision: 85.15846408224972 fmeasure: 0.8312839217413048 mcc: 0.7525265230561222 loss: tensor(0.7163, grad_fn=<DivBackward0>)
Epoch 6 Train results for TCGA-KIRC: accuracy: 82.22230442083242 recall: 82.22230442083242  precision: 82.86282334889196 fmeasure: 0.8134994292644488 mcc: 0.7384511634871779 loss: tensor(0.7266, grad_fn=<DivBackward0>)
Epoch 6 Train results for TCGA-KIRP: accuracy: 65.8046875 recall: 65.8046875  precision: 71.83505506687396 fmeasure: 0.6432496459207566 mcc: 0.5378946779420748 loss: tensor(0.8921, grad_fn=<DivBackward0>)
Epoch 6 Train results for TCGA-LIHC: accuracy: 72.13106377180233 recall: 72.13106377180233  precision: 73.83941953269496 fmeasure: 0.7040046279746113 mcc: 0.5197534256023851 loss: tensor(0.8299, grad_fn=<DivBackward0>)
Epoch 6 Train results for TCGA-LUAD: accuracy: 75.79057017543859 recall: 75.79057017543859  precision: 78.32767892397797 fmeasure: 0.7467635315743203 mcc: 0.6373196199862028 loss: tensor(0.7916, grad_fn=<DivBackward0>)
Epoch 6 Train results for TCGA-LUSC: accuracy: 76.17372192671395 recall: 76.17372192671395  precision: 77.09598747331732 fmeasure: 0.744736943885155 mcc: 0.6535014490035412 loss: tensor(0.7890, grad_fn=<DivBackward0>)
Epoch 6 Train results for TCGA-PRAD: accuracy: 77.52400325169909 recall: 77.52400325169909  precision: 80.01128456955536 fmeasure: 0.7727527857216178 mcc: 0.660506786731369 loss: tensor(0.7735, grad_fn=<DivBackward0>)
Epoch 6 Train results for TCGA-THCA: accuracy: 73.62762721238938 recall: 73.62762721238938  precision: 78.21890872498292 fmeasure: 0.7345259185406232 mcc: 0.5426022740844751 loss: tensor(0.8144, grad_fn=<DivBackward0>)
Epoch 6 Train results for TCGA-UCEC: accuracy: 68.44907407407408 recall: 68.44907407407408  precision: 69.43614121874005 fmeasure: 0.6800102663514781 mcc: 0.5057298791356554 loss: tensor(0.8725, grad_fn=<DivBackward0>)
Epoch 7 Train results for TCGA-BRCA: accuracy: 76.28481079931973 recall: 76.28481079931973  precision: 80.70215393477464 fmeasure: 0.7567908075830038 mcc: 0.6555687321960507 loss: tensor(0.7875, grad_fn=<DivBackward0>)
Epoch 7 Train results for TCGA-KIRC: accuracy: 75.90778806980842 recall: 75.90778806980842  precision: 79.5640153870763 fmeasure: 0.7540613563661613 mcc: 0.6510409428555265 loss: tensor(0.7908, grad_fn=<DivBackward0>)
Epoch 7 Train results for TCGA-KIRP: accuracy: 75.328125 recall: 75.328125  precision: 78.79413921502162 fmeasure: 0.7505692120252335 mcc: 0.6454517493865508 loss: tensor(0.7959, grad_fn=<DivBackward0>)
Epoch 7 Train results for TCGA-LIHC: accuracy: 76.35412881540698 recall: 76.35412881540698  precision: 76.91288043520983 fmeasure: 0.7578725057521203 mcc: 0.5907084675819577 loss: tensor(0.7903, grad_fn=<DivBackward0>)
Epoch 7 Train results for TCGA-LUAD: accuracy: 82.13843201754385 recall: 82.13843201754385  precision: 83.69766967331383 fmeasure: 0.8198627325657991 mcc: 0.730972899303591 loss: tensor(0.7290, grad_fn=<DivBackward0>)
Epoch 7 Train results for TCGA-LUSC: accuracy: 76.882018321513 recall: 76.882018321513  precision: 77.96423025469329 fmeasure: 0.7513278075471688 mcc: 0.6650376755912418 loss: tensor(0.7808, grad_fn=<DivBackward0>)
Epoch 7 Train results for TCGA-PRAD: accuracy: 73.23399417037731 recall: 73.23399417037731  precision: 77.25587642868398 fmeasure: 0.7264652219071661 mcc: 0.6105168900417439 loss: tensor(0.8169, grad_fn=<DivBackward0>)
Epoch 7 Train results for TCGA-THCA: accuracy: 72.59559784794851 recall: 72.59559784794851  precision: 78.49725600785727 fmeasure: 0.7206088890523208 mcc: 0.5249832686277908 loss: tensor(0.8243, grad_fn=<DivBackward0>)
Epoch 7 Train results for TCGA-UCEC: accuracy: 63.17274305555556 recall: 63.17274305555556  precision: 71.81593135082582 fmeasure: 0.5674068731033793 mcc: 0.4312476198806317 loss: tensor(0.9156, grad_fn=<DivBackward0>)
Epoch 8 Train results for TCGA-BRCA: accuracy: 82.70222151360544 recall: 82.70222151360544  precision: 85.25250723906755 fmeasure: 0.8262327696142792 mcc: 0.7437612093228518 loss: tensor(0.7235, grad_fn=<DivBackward0>)
Epoch 8 Train results for TCGA-KIRC: accuracy: 69.63585251046025 recall: 69.63585251046025  precision: 70.07939494146873 fmeasure: 0.6623791367088445 mcc: 0.5621778566503941 loss: tensor(0.8531, grad_fn=<DivBackward0>)
Epoch 8 Train results for TCGA-KIRP: accuracy: 76.25390625 recall: 76.25390625  precision: 78.9237308820553 fmeasure: 0.7562503127692816 mcc: 0.6401906880888277 loss: tensor(0.7866, grad_fn=<DivBackward0>)
Epoch 8 Train results for TCGA-LIHC: accuracy: 75.18225381540698 recall: 75.18225381540698  precision: 76.02967689616003 fmeasure: 0.7451762909842128 mcc: 0.5713417380440207 loss: tensor(0.7924, grad_fn=<DivBackward0>)
Epoch 8 Train results for TCGA-LUAD: accuracy: 83.65131578947368 recall: 83.65131578947368  precision: 84.85258038500378 fmeasure: 0.8340702204768258 mcc: 0.7514842119884005 loss: tensor(0.7128, grad_fn=<DivBackward0>)
Epoch 8 Train results for TCGA-LUSC: accuracy: 76.19172946217493 recall: 76.19172946217493  precision: 82.71385276306518 fmeasure: 0.7624803848546557 mcc: 0.6691289150920258 loss: tensor(0.7887, grad_fn=<DivBackward0>)
Epoch 8 Train results for TCGA-PRAD: accuracy: 74.49503456761191 recall: 74.49503456761191  precision: 77.7283725461674 fmeasure: 0.7399249770961052 mcc: 0.6116944903294885 loss: tensor(0.8034, grad_fn=<DivBackward0>)
Epoch 8 Train results for TCGA-THCA: accuracy: 74.28600160901046 recall: 74.28600160901046  precision: 78.82186505813789 fmeasure: 0.7397613380721478 mcc: 0.5542746701511047 loss: tensor(0.8063, grad_fn=<DivBackward0>)
Epoch 8 Train results for TCGA-UCEC: accuracy: 70.96498842592592 recall: 70.96498842592592  precision: 73.10444941299185 fmeasure: 0.7041995782070409 mcc: 0.5549734831042864 loss: tensor(0.8423, grad_fn=<DivBackward0>)
Epoch 9 Train results for TCGA-BRCA: accuracy: 74.34762967687074 recall: 74.34762967687074  precision: 77.98745809070512 fmeasure: 0.7345928685655979 mcc: 0.6285342668948333 loss: tensor(0.8068, grad_fn=<DivBackward0>)
Epoch 9 Train results for TCGA-KIRC: accuracy: 80.54384703259194 recall: 80.54384703259194  precision: 81.18844934079429 fmeasure: 0.7978346342024589 mcc: 0.7124994445526228 loss: tensor(0.7449, grad_fn=<DivBackward0>)
Epoch 9 Train results for TCGA-KIRP: accuracy: 79.8125 recall: 79.8125  precision: 81.17062904506497 fmeasure: 0.7960738773657416 mcc: 0.6871463590060901 loss: tensor(0.7515, grad_fn=<DivBackward0>)
Epoch 9 Train results for TCGA-LIHC: accuracy: 76.95255723110465 recall: 76.95255723110465  precision: 77.3225831261157 fmeasure: 0.7658902565683219 mcc: 0.5994182045222981 loss: tensor(0.7798, grad_fn=<DivBackward0>)
Epoch 9 Train results for TCGA-LUAD: accuracy: 85.45339912280701 recall: 85.45339912280701  precision: 86.29175635682014 fmeasure: 0.85294767748122 mcc: 0.7783979776152229 loss: tensor(0.6952, grad_fn=<DivBackward0>)
Epoch 9 Train results for TCGA-LUSC: accuracy: 81.11886820330969 recall: 81.11886820330969  precision: 81.80087348603405 fmeasure: 0.801482033768095 mcc: 0.7189724480754207 loss: tensor(0.7395, grad_fn=<DivBackward0>)
Epoch 9 Train results for TCGA-PRAD: accuracy: 79.31490947972814 recall: 79.31490947972814  precision: 81.34468552938372 fmeasure: 0.7891965586565677 mcc: 0.6825721980696435 loss: tensor(0.7569, grad_fn=<DivBackward0>)
Epoch 9 Train results for TCGA-THCA: accuracy: 73.57357451729686 recall: 73.57357451729686  precision: 78.23125458784091 fmeasure: 0.7116495334679058 mcc: 0.5032054573398015 loss: tensor(0.8132, grad_fn=<DivBackward0>)
Epoch 9 Train results for TCGA-UCEC: accuracy: 74.01765046296296 recall: 74.01765046296296  precision: 76.254627656584 fmeasure: 0.7361521220403718 mcc: 0.5991609434666458 loss: tensor(0.8092, grad_fn=<DivBackward0>)
Epoch 10 Train results for TCGA-BRCA: accuracy: 77.5124893707483 recall: 77.5124893707483  precision: 83.15513627240831 fmeasure: 0.7679982595134559 mcc: 0.677581278128111 loss: tensor(0.7738, grad_fn=<DivBackward0>)
Epoch 10 Train results for TCGA-KIRC: accuracy: 80.54255670557146 recall: 80.54255670557146  precision: 82.04816566635726 fmeasure: 0.80187428826812 mcc: 0.7158385193761144 loss: tensor(0.7449, grad_fn=<DivBackward0>)
Epoch 10 Train results for TCGA-KIRP: accuracy: 74.28515625 recall: 74.28515625  precision: 77.33974650508014 fmeasure: 0.7382007660820721 mcc: 0.6280078764127579 loss: tensor(0.8067, grad_fn=<DivBackward0>)
Epoch 10 Train results for TCGA-LIHC: accuracy: 76.59770167151163 recall: 76.59770167151163  precision: 77.70551664706989 fmeasure: 0.7614816465880031 mcc: 0.6036154796360896 loss: tensor(0.7794, grad_fn=<DivBackward0>)
Epoch 10 Train results for TCGA-LUAD: accuracy: 81.80098684210526 recall: 81.80098684210526  precision: 84.0070288680389 fmeasure: 0.813975642823498 mcc: 0.7199068553577772 loss: tensor(0.7316, grad_fn=<DivBackward0>)
Epoch 10 Train results for TCGA-LUSC: accuracy: 83.57112514775413 recall: 83.57112514775413  precision: 85.18005576845874 fmeasure: 0.833983817368233 mcc: 0.7576965364354146 loss: tensor(0.7152, grad_fn=<DivBackward0>)
Epoch 10 Train results for TCGA-PRAD: accuracy: 79.25375703070073 recall: 79.25375703070073  precision: 80.8743002090618 fmeasure: 0.7872044493438409 mcc: 0.6711855749427685 loss: tensor(0.7575, grad_fn=<DivBackward0>)
Epoch 10 Train results for TCGA-THCA: accuracy: 75.11313354786806 recall: 75.11313354786806  precision: 79.69095922248424 fmeasure: 0.7314756827023404 mcc: 0.5340514130234396 loss: tensor(0.7972, grad_fn=<DivBackward0>)
Epoch 10 Train results for TCGA-UCEC: accuracy: 75.57436342592592 recall: 75.57436342592592  precision: 77.77546541415362 fmeasure: 0.7504312945078877 mcc: 0.626579839875768 loss: tensor(0.7967, grad_fn=<DivBackward0>)
Epoch 11 Train results for TCGA-BRCA: accuracy: 74.00749362244899 recall: 74.00749362244899  precision: 82.28854966680926 fmeasure: 0.7294264401857669 mcc: 0.6398172212951402 loss: tensor(0.8107, grad_fn=<DivBackward0>)
Epoch 11 Train results for TCGA-KIRC: accuracy: 83.48088939660867 recall: 83.48088939660867  precision: 86.57323174625213 fmeasure: 0.8382601593233331 mcc: 0.7630414072065644 loss: tensor(0.7156, grad_fn=<DivBackward0>)
Epoch 11 Train results for TCGA-KIRP: accuracy: 69.6953125 recall: 69.6953125  precision: 73.48822180794878 fmeasure: 0.677507800248411 mcc: 0.5310247683999527 loss: tensor(0.8529, grad_fn=<DivBackward0>)
Epoch 11 Train results for TCGA-LIHC: accuracy: 77.14616642441861 recall: 77.14616642441861  precision: 77.85021563364151 fmeasure: 0.7672566543686933 mcc: 0.6039396640137907 loss: tensor(0.7689, grad_fn=<DivBackward0>)
Epoch 11 Train results for TCGA-LUAD: accuracy: 79.7826206140351 recall: 79.7826206140351  precision: 82.69834961843749 fmeasure: 0.7931253539320526 mcc: 0.6977593743410014 loss: tensor(0.7518, grad_fn=<DivBackward0>)
Epoch 11 Train results for TCGA-LUSC: accuracy: 78.33139406028369 recall: 78.33139406028369  precision: 81.92498106420612 fmeasure: 0.7834744471018873 mcc: 0.6867297949783834 loss: tensor(0.7677, grad_fn=<DivBackward0>)
Epoch 11 Train results for TCGA-PRAD: accuracy: 81.96286544996485 recall: 81.96286544996485  precision: 82.54070652379097 fmeasure: 0.8183265908889938 mcc: 0.7144703616595411 loss: tensor(0.7305, grad_fn=<DivBackward0>)
Epoch 11 Train results for TCGA-THCA: accuracy: 76.43333919951729 recall: 76.43333919951729  precision: 80.34814041614814 fmeasure: 0.7517806157375915 mcc: 0.5629164366912588 loss: tensor(0.7865, grad_fn=<DivBackward0>)
Epoch 11 Train results for TCGA-UCEC: accuracy: 77.40017361111111 recall: 77.40017361111111  precision: 78.98029815996262 fmeasure: 0.7678099777040077 mcc: 0.6491990639457089 loss: tensor(0.7749, grad_fn=<DivBackward0>)
Epoch 12 Train results for TCGA-BRCA: accuracy: 81.11049107142857 recall: 81.11049107142857  precision: 85.8568717668202 fmeasure: 0.808562606297331 mcc: 0.732390225894663 loss: tensor(0.7399, grad_fn=<DivBackward0>)
Epoch 12 Train results for TCGA-KIRC: accuracy: 81.53507624972474 recall: 81.53507624972474  precision: 85.2534561254322 fmeasure: 0.8179069873314406 mcc: 0.7375171603460142 loss: tensor(0.7355, grad_fn=<DivBackward0>)
Epoch 12 Train results for TCGA-KIRP: accuracy: 76.48046875 recall: 76.48046875  precision: 78.87681929334147 fmeasure: 0.7547214093013503 mcc: 0.6310374759630267 loss: tensor(0.7849, grad_fn=<DivBackward0>)
Epoch 12 Train results for TCGA-LIHC: accuracy: 76.07137990552326 recall: 76.07137990552326  precision: 77.22966231235708 fmeasure: 0.7542694650077963 mcc: 0.5885111595790126 loss: tensor(0.7790, grad_fn=<DivBackward0>)
Epoch 12 Train results for TCGA-LUAD: accuracy: 76.72779605263158 recall: 76.72779605263158  precision: 81.62923308878007 fmeasure: 0.7578591329428047 mcc: 0.6646201355677805 loss: tensor(0.7835, grad_fn=<DivBackward0>)
Epoch 12 Train results for TCGA-LUSC: accuracy: 82.2339502068558 recall: 82.2339502068558  precision: 83.71844699766939 fmeasure: 0.8190417038202374 mcc: 0.7345715107630517 loss: tensor(0.7281, grad_fn=<DivBackward0>)
Epoch 12 Train results for TCGA-PRAD: accuracy: 79.01848488399344 recall: 79.01848488399344  precision: 80.9132844040331 fmeasure: 0.7885404598197143 mcc: 0.6745034318928197 loss: tensor(0.7603, grad_fn=<DivBackward0>)
Epoch 12 Train results for TCGA-THCA: accuracy: 73.30111122284795 recall: 73.30111122284795  precision: 77.15505846959387 fmeasure: 0.7239368301300557 mcc: 0.5224531060238661 loss: tensor(0.8169, grad_fn=<DivBackward0>)
Epoch 12 Train results for TCGA-UCEC: accuracy: 72.76041666666667 recall: 72.76041666666667  precision: 75.72769608219829 fmeasure: 0.7205552216090723 mcc: 0.5790680761637496 loss: tensor(0.8202, grad_fn=<DivBackward0>)
Epoch 13 Train results for TCGA-BRCA: accuracy: 80.61490221088435 recall: 80.61490221088435  precision: 84.05642394549848 fmeasure: 0.8033582288217721 mcc: 0.716633288985275 loss: tensor(0.7444, grad_fn=<DivBackward0>)
Epoch 13 Train results for TCGA-KIRC: accuracy: 80.06659807861705 recall: 80.06659807861705  precision: 83.98161556285845 fmeasure: 0.8024132863580437 mcc: 0.7163367567386715 loss: tensor(0.7498, grad_fn=<DivBackward0>)
